City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,muisne,0.6,-80.0333,24.86,86,99,2.95,EC,1701073675
137,sosnovka,56.255,51.2842,0.93,79,12,4.77,RU,1701073675
138,amurzet,47.6967,131.0981,-16.87,97,100,1.44,RU,1701073676
139,hithadhoo,-0.6,73.0833,28.19,73,48,3.07,MV,1701073496
140,calvillo,21.85,-102.7167,12.52,30,100,0.23,MX,1701073676
141,vinh yen,21.31,105.5967,28.97,44,29,1.03,VN,1701073676
142,hadibu,12.65,54.0333,27.85,60,94,6.93,YE,1701073676
143,whitehorse,60.7161,-135.0538,2.79,87,75,6.71,CA,1701073481
144,ciudad lazaro cardenas,17.9583,-102.2,25.09,76,100,1.53,MX,1701073483
145,papao,-17.75,-149.55,25.82,82,100,10.2,PF,1701073497
146,new norfolk,-42.7826,147.0587,12.72,65,92,2.09,AU,1701073677
147,gaalkacyo,6.7697,47.4308,31.17,32,3,4.77,SO,1701073678
148,tsiombe,-25.3,45.4833,36.94,27,0,1.61,MG,1701073498
149,poli,-3.3333,36.8,19.23,77,100,0.71,TZ,1701073498
150,north battleford,52.7834,-108.2847,-2.95,86,100,3.6,CA,1701073498
151,bouna,9.2667,-3.0,24.87,77,100,1.61,CI,1701073678
152,ichinohe,40.2069,141.3017,4.78,97,100,1.37,JP,1701073678
153,bechar,31.6167,-2.2167,6.18,28,0,0.0,DZ,1701073499
154,acarau,-2.8856,-40.12,26.52,71,52,5.87,BR,1701073463
155,kavaratti,10.5669,72.642,28.76,69,70,2.46,IN,1701073679
156,morondava,-20.2833,44.2833,29.77,59,4,4.94,MG,1701073679
157,uturoa,-16.7333,-151.4333,26.19,79,35,9.34,PF,1701073500
158,wuhu,31.3366,118.3755,18.12,34,0,4.85,CN,1701073680
159,atafu village,-8.5421,-172.5159,29.57,78,100,7.12,TK,1701073500
160,masvingo,-20.0637,30.8277,31.03,27,0,5.14,ZW,1701073500
161,ust-nera,64.5667,143.2,-25.05,98,99,3.06,RU,1701073501
162,kill devil hills,36.0307,-75.676,10.01,95,100,1.54,US,1701073680
163,sidi qacem,34.2215,-5.7078,11.12,83,2,0.81,MA,1701073501
164,queenstown,-31.8976,26.8753,30.74,24,0,1.25,ZA,1701073681
165,port mathurin,-19.6833,63.4167,24.98,68,0,5.54,MU,1701073502
166,kerikeri,-35.2268,173.9474,15.51,78,22,2.88,NZ,1701073502
167,saipan,15.1355,145.701,28.39,74,40,8.23,MP,1701073502
168,yuzhno-kurilsk,44.0306,145.8556,2.99,51,99,2.45,RU,1701073681
169,lapai,9.05,6.5667,27.3,68,13,1.43,NG,1701073682
170,westport,41.1415,-73.3579,11.15,89,0,4.63,US,1701073682
171,la passe,45.5549,-0.8967,5.13,87,100,4.57,FR,1701073682
172,mana,5.6592,-53.7767,25.14,92,56,3.78,GF,1701073682
173,katsuren-haebaru,26.3369,127.8719,23.21,76,75,5.66,JP,1701073683
174,manay,7.215,126.5397,28.28,78,10,3.48,PH,1701073504
175,port augusta,-32.5,137.7667,31.41,25,49,3.25,AU,1701073505
176,qaqortoq,60.7167,-46.0333,-11.39,86,16,3.51,GL,1701073683
177,puerto cabezas,14.0351,-83.3888,24.92,92,25,3.34,NI,1701073684
178,igrim,63.1906,64.4162,-7.65,96,100,2.69,RU,1701073684
179,ulanhot,46.0833,122.0833,-11.14,58,66,5.22,CN,1701073684
180,chesma,53.8111,60.6533,-0.1,84,100,3.57,RU,1701073685
181,rechka-vydrino,51.485,104.8461,-8.37,90,100,1.43,RU,1701073685
182,sodankyla,67.4167,26.6,-26.12,100,83,1.29,FI,1701073685
183,hotan,37.0997,79.9269,9.36,19,100,1.92,CN,1701073507
184,kalinkavichy,52.1323,29.3257,-2.88,83,100,10.21,BY,1701073508
185,zapadnaya dvina,56.259,32.0745,-5.56,91,100,7.36,RU,1701073686
186,bikenibeu village,1.3673,173.1241,27.98,94,75,1.03,KI,1701073508
187,moyale,3.5167,39.0584,26.59,46,73,5.21,KE,1701073508
188,angaur state,6.906,134.13,28.42,79,87,4.96,PW,1701073686
189,newman,37.3138,-121.0208,2.13,56,86,0.78,US,1701073574
190,mogocha,53.7333,119.7667,-21.24,91,12,1.2,RU,1701073687
191,vernon,50.2581,-119.2691,3.2,86,100,1.03,CA,1701073632
192,belmonte,-15.8631,-38.8828,23.51,92,88,2.02,BR,1701073687
193,emerald,-23.5333,148.1667,22.97,86,100,4.38,AU,1701073687
194,ola,59.5833,151.2833,-17.77,75,95,5.7,RU,1701073510
195,alaghsas,17.0187,8.0168,26.94,14,100,7.72,NE,1701073688
196,coutances,49.05,-1.4333,10.72,89,100,6.37,FR,1701073688
197,calvinia,-31.4707,19.776,31.9,17,0,1.54,ZA,1701073572
198,port isabel,26.0734,-97.2086,14.45,70,100,6.17,US,1701073688
199,flying fish cove,-10.4217,105.6791,28.82,69,75,4.63,CX,1701073689
200,puerto baquerizo moreno,-0.9,-89.6,23.92,80,96,4.03,EC,1701073689
201,jinghong,21.991,100.7341,27.87,41,96,1.5,CN,1701073689
202,belle fourche,44.6714,-103.8522,2.73,83,69,6.74,US,1701073689
203,chonchi,-42.6128,-73.8092,7.84,90,100,0.49,CL,1701073689
204,manzhouli,49.6,117.4333,-21.45,93,12,2.8,CN,1701073690
205,mitu,1.1983,-70.1733,22.95,95,99,0.6,CO,1701073690
206,dunedin,-45.8742,170.5036,12.11,86,100,1.34,NZ,1701073513
207,keflavik,64.0049,-22.5624,6.95,100,75,10.29,IS,1701073691
208,port alfred,-33.5906,26.891,24.54,76,8,3.58,ZA,1701073691
209,korla,41.7597,86.1469,9.35,31,12,1.31,CN,1701073691
210,klyuchi,52.2667,79.1667,2.6,82,100,4.86,RU,1701073691
211,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,63,75,7.15,RU,1701073692
212,zhu cheng city,35.995,119.4026,10.73,32,1,5.92,CN,1701073692
213,touros,-5.1989,-35.4608,24.39,84,36,4.83,BR,1701073692
214,olonkinbyen,70.9221,-8.7187,1.59,89,100,8.86,SJ,1701073692
215,lazaro cardenas,17.9583,-102.2,25.09,76,100,1.53,MX,1701073483
216,kayangel,8.0823,134.7173,28.31,79,99,6.74,PW,1701073693
217,pyt-yakh,60.7499,72.8582,-4.08,92,100,4.16,RU,1701073516
218,nova sintra,14.8667,-24.7167,22.46,64,58,5.36,CV,1701073516
219,kingscliff,-28.2667,153.5667,24.85,88,100,3.6,AU,1701073693
220,chom thong,18.4174,98.6743,31.72,61,100,1.02,TH,1701073694
221,chibougamau,49.9168,-74.3659,-3.21,93,100,6.17,CA,1701073517
222,takai,11.5833,9.1167,28.13,32,28,1.3,NG,1701073694
223,el alto,-4.2714,-81.2147,20.15,72,15,5.74,PE,1701073694
224,ebon,4.582,168.6964,28.48,79,100,7.96,MH,1701073518
225,kostrzyn nad odra,52.5871,14.6495,-0.53,76,53,1.51,PL,1701073695
226,naze,28.3667,129.4833,19.51,68,65,4.61,JP,1701073695
227,west island,-12.1568,96.8225,28.99,58,75,5.14,CC,1701073695
228,boende,-0.2167,20.8667,28.06,60,99,1.37,CD,1701073695
229,hammerfest,70.6634,23.6821,-2.75,80,75,1.03,NO,1701073696
230,saint-francois,46.4154,3.9054,3.14,78,100,3.09,FR,1701073696
231,temizhbekskaya,45.4456,40.845,6.91,60,95,10.66,RU,1701073519
232,arkhangel'sk,64.5401,40.5433,-17.15,95,95,2.75,RU,1701073526
233,laojunmiao,39.8333,97.7333,5.86,23,6,2.77,CN,1701073696
234,egilsstadir,65.2653,-14.3948,1.95,87,0,7.2,IS,1701073697
235,bago,17.3367,96.4797,31.32,50,29,1.79,MM,1701073697
236,jiangzi,28.95,89.6333,6.33,13,69,2.82,CN,1701073697
237,puerto asis,0.5133,-76.5007,20.93,100,87,0.81,CO,1701073697
238,epping,-33.7727,151.0818,23.47,76,94,2.24,AU,1701073697
239,lompoc,34.6391,-120.4579,14.4,74,0,4.12,US,1701073418
240,trondheim,63.4305,10.3951,-15.97,72,4,3.7,NO,1701073698
241,mil'kovo,55.6078,37.7956,2.08,100,100,6.19,RU,1701073698
242,alice springs,-23.7,133.8833,33.75,20,1,1.03,AU,1701073413
243,barranca,-10.75,-77.7667,18.16,88,75,3.69,PE,1701073699
244,amga,60.8953,131.9608,-28.91,100,100,0.62,RU,1701073699
